Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company_Name
Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498,98.6,5.0,4.4,Honda
BMW 3 Series 320d,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995,181.0,5.0,12.75,BMW
Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6,1196,70.0,5.0,2.4,Ford
Volkswagen Ameo 1.2 MPI,Kochi,2018,46007,Petrol,Manual,First,17.0,1198,73.75,5.0,5.71,Volkswagen
Ford Ecosport 1.5 DV5,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498,89.84,5.0,5.49,Ford
Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,13.0,1343,90.0,5.0,1.3,Honda
Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179,140.0,7.0,8.5,Mahindra
Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13.0,2982,168.5,7.0,12.99,Toyota
Hyundai Grand i10 1.2,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197,81.86,5.0,5.0,Hyundai
Maruti Dzire AMT ZDI,Pune,2017,41747,Diesel,Automatic,First,28.4,1248,73.75,5.0,9.0,Maruti
Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248,74.0,5.0,5.22,Maruti
Volkswagen Polo Petrol Highline,Pune,2012,19030,Petrol,Manual,First,16.47,1198,73.9,5.0,3.8,Volkswagen
Toyota Etios Liva 1.2,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197,78.9,5.0,7.27,Toyota
Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197,81.8,5.0,5.1,Maruti
Mercedes-Benz E-Class 2009-2013 E250,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143,203.0,5.0,29.0,Mercedes-Benz
Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9,998,67.1,5.0,2.9,Maruti
Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,26.0,624,35.0,4.0,1.38,Tata
Skoda Laura 1.8 TSI,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798,157.8,5.0,5.5,Skoda
Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197,103.5,5.0,7.25,Volkswagen
Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582,126.32,5.0,6.98,Hyundai
Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248,74.0,5.0,5.25,Tata
Hyundai EON D Lite,Kolkata,2013,36000,Petrol,Manual,First,21.1,814,55.2,5.0,1.95,Hyundai
Audi A4 2.0 TDI,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968,174.33,5.0,24.5,Audi
Toyota Innova 2.5 GX,Kochi,2013,62162,Diesel,Manual,First,12.99,2494,100.0,7.0,8.31,Toyota
Mercedes-Benz M-Class ML 350,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2987,254.8,5.0,36.0,Mercedes-Benz
Hyundai Xcent 1.1 CRDi,Pune,2015,58000,Diesel,Manual,First,24.4,1120,71.0,5.0,5.5,Hyundai
Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354,177.6,5.0,5.89,Honda
Volkswagen Vento 1.5 TDI,Kochi,2016,50867,Diesel,Manual,First,20.34,1498,103.2,5.0,7.95,Volkswagen
Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,17.0,1197,80.0,5.0,2.75,Hyundai
Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582,126.24,5.0,6.25,Hyundai
Ford Figo Diesel Titanium,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1399,68.05,5.0,4.95,Ford
Hyundai i20 1.2 Magna,Kochi,2019,27339,Petrol,Manual,First,18.6,1197,81.83,5.0,6.27,Hyundai
Hyundai Verna 1.6 CRDi,Kolkata,2017,25000,Diesel,Manual,First,23.9,1582,126.2,5.0,8.65,Hyundai
Hyundai Grand i10 Asta,Kolkata,2014,37000,Petrol,Manual,First,18.9,1197,82.0,5.0,3.5,Hyundai
Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,First,14.16,1968,174.3,5.0,35.0,Audi
Maruti Swift Dzire ZXi,Kolkata,2015,27000,Petrol,Manual,First,17.5,1298,85.8,5.0,4.45,Maruti
Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,18.5,1197,80.0,5.0,2.65,Hyundai
Mahindra KUV 100 mFALCON,Kolkata,2017,10500,Diesel,Manual,First,25.32,1198,77.0,5.0,4.7,Mahindra
Hyundai Elantra 1.6 SX,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582,126.2,5.0,8.9,Hyundai
Jeep Compass 2.0 Limited,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956,170.0,5.0,17.45,Jeep
Maruti Vitara Brezza VDi,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248,88.5,5.0,9.58,Maruti
Toyota Corolla Altis 1.8,Kochi,2012,83184,Petrol,Manual,First,14.28,1798,138.03,5.0,6.22,Toyota
Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179,140.0,7.0,7.8,Mahindra
BMW X1 xDrive 20d,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995,190.0,5.0,27.75,BMW
Hyundai i20 Magna 1.4,Pune,2015,29000,Diesel,Manual,Second,22.54,1396,88.73,5.0,7.0,Hyundai
Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987,254.79,5.0,64.87,Mercedes-Benz
Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998,163.7,5.0,6.5,Chevrolet
Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197,80.0,5.0,2.7,Hyundai
Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198,86.8,5.0,2.5,Honda
Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461,84.8,7.0,3.9,Nissan
Volkswagen Polo Petrol Trendline,Delhi,2015,58000,Petrol,Manual,First,16.47,1198,73.9,5.0,3.95,Volkswagen
Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197,78.9,5.0,2.1,Hyundai
Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991,147.9,4.0,3.5,Chevrolet
Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.0,Hyundai
Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1248,88.76,7.0,5.35,Maruti
Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.8,Honda
Mercedes-Benz A Class A180,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595,122.0,5.0,17.25,Mercedes-Benz
Hyundai Grand i10 1.2,Kochi,2018,46493,Petrol,Manual,First,18.9,1197,81.86,5.0,5.53,Hyundai
Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,20.36,1197,78.9,5.0,1.95,Hyundai
Maruti Swift DDiS ZDI,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248,74.0,5.0,8.2,Maruti
Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,13.0,1343,90.0,5.0,0.9,Honda
Toyota Innova 2.5 GX,Pune,2013,255000,Diesel,Manual,Third,12.99,2494,100.6,7.0,6.5,Toyota
Mini Cooper Countryman D,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1998,112.0,5.0,19.41,Mini
Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368,112.4,5.0,6.58,Fiat
Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399,92.7,5.0,2.1,Chevrolet
Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.0,Hyundai
Hyundai Xcent 1.1 CRDi,Delhi,2015,54000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.7,Hyundai
Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998,67.04,5.0,3.8,Maruti
Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,3.25,Hyundai
Renault Duster 85PS Diesel,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461,83.8,5.0,5.53,Renault
BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995,190.0,5.0,10.9,BMW
Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,First,18.9,1197,82.0,5.0,5.1,Hyundai
Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,18.0,995,62.0,5.0,1.6,Chevrolet
Honda City i VTEC,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497,117.3,5.0,11.25,Honda
Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,20.54,1598,103.6,5.0,5.9,Volkswagen
Toyota Fortuner 4x2 4,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982,169.0,7.0,14.4,Toyota
Honda City 1.5 S,Delhi,2011,68000,Petrol,Manual,First,17.0,1497,118.0,5.0,3.6,Honda
BMW 5 Series 2013-2017,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995,190.0,5.0,40.5,BMW
Audi Q5 30 TDI,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968,174.3,5.0,38.95,Audi
Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1248,73.94,5.0,3.6,Maruti
Volkswagen Vento 1.5 TDI,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.12,Volkswagen
Honda City i DTEC,Kochi,2016,55700,Diesel,Manual,First,26.0,1498,98.6,5.0,7.52,Honda
Audi A4 New 2.0,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968,140.8,5.0,10.35,Audi
Skoda Rapid 1.6 MPI,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598,103.52,5.0,7.0,Skoda
Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,11.5,2982,171.0,7.0,10.85,Toyota
Chevrolet Optra Magnum 2.0,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991,123.7,5.0,2.35,Chevrolet
Maruti Eeco 7 Seater,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196,73.0,7.0,2.9,Maruti
Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1373,91.1,5.0,7.65,Maruti
Maruti Ciaz VDi Plus,Delhi,2016,66000,Diesel,Manual,First,28.09,1248,88.5,5.0,6.4,Maruti
Toyota Innova 2.5 LE,Pune,2014,102418,Diesel,Manual,First,12.99,2494,100.6,7.0,10.1,Toyota
Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197,85.8,5.0,4.25,Maruti
Toyota Innova Crysta 2.8,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.65,Toyota
Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,25.0,1396,69.0,5.0,4.4,Tata
Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197,82.85,5.0,3.25,Hyundai
Ford Fiesta 1.4 Duratorq,Pune,2012,78000,Diesel,Manual,First,17.8,1399,68.0,5.0,2.8,Ford
Chevrolet Enjoy 1.3 TCDi,Kolkata,2015,50000,Diesel,Manual,First,18.2,1248,73.74,8.0,4.3,Chevrolet
Ford Fiesta 1.4 Duratorq,Chennai,2006,89327,Diesel,Manual,Third,17.8,1399,68.0,5.0,1.55,Ford
Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,10.8,2354,152.0,5.0,4.7,Honda
Honda Jazz 1.2 VX,Kochi,2017,24700,Petrol,Manual,First,18.7,1199,88.7,5.0,7.07,Honda
Mercedes-Benz GLS 350d Grand,Delhi,2018,6000,Diesel,Automatic,First,11.0,2987,258.0,7.0,79.0,Mercedes-Benz
Hyundai Grand i10 1.2,Delhi,2018,9434,Petrol,Manual,First,18.9,1197,81.86,5.0,5.75,Hyundai
Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,18.5,1197,85.8,5.0,3.25,Maruti
Volkswagen Ameo 1.5 TDI,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1498,108.495,5.0,8.89,Volkswagen
Honda City i VTEC,Mumbai,2015,73070,Petrol,Manual,First,17.4,1497,117.3,5.0,5.9,Honda
Honda Jazz 1.2 S,Kolkata,2016,21771,Petrol,Manual,First,18.7,1199,88.7,5.0,4.95,Honda
Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.75,Maruti
Hyundai Creta 1.6 CRDi,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582,126.2,5.0,10.97,Hyundai
Audi A7 2011-2015 3.0,Kochi,2014,60336,Diesel,Automatic,Second,14.4,2967,241.4,5.0,24.94,Audi
Hyundai EON D Lite,Kolkata,2014,26008,Petrol,Manual,First,21.1,814,55.2,5.0,1.97,Hyundai
Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1399,68.0,5.0,1.4,Ford
Volkswagen Ameo 1.2 MPI,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198,73.75,5.0,7.27,Volkswagen
Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,21.64,1461,84.8,5.0,4.0,Renault
Honda Jazz 1.2 V,Kolkata,2015,45000,Petrol,Manual,First,18.7,1199,88.7,5.0,4.75,Honda
Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,17.0,1197,80.0,5.0,5.1,Hyundai
Audi A4 3.0 TDI,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2967,241.4,5.0,16.11,Audi
Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,11.18,2696,184.0,7.0,10.55,Mahindra
Toyota Fortuner 2.8 2WD,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755,174.5,7.0,30.0,Toyota
Skoda Octavia Classic 1.9,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896,66.0,5.0,1.6,Skoda
Mercedes-Benz New C-Class 250,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2148,170.0,5.0,18.49,Mercedes-Benz
Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,20.73,1373,91.1,5.0,9.96,Maruti
Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1248,74.0,5.0,4.75,Maruti
Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2446,75.0,10.0,3.65,Toyota
BMW 5 Series 2007-2010,Delhi,2012,49000,Diesel,Automatic,Second,16.73,2495,218.0,5.0,15.5,BMW
Mitsubishi Pajero 2.8 SFX,Kochi,2013,48272,Diesel,Manual,First,10.5,2835,116.9,6.0,11.82,Mitsubishi
Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,13.4,1794,125.0,5.0,2.05,Toyota
Maruti Wagon R LXI,Ahmedabad,2016,77000,CNG,Manual,First,26.6,998,58.16,5.0,3.3,Maruti
Maruti Omni E MPI,Mumbai,2013,11734,Petrol,Manual,First,16.8,796,34.2,8.0,2.25,Maruti
Audi A6 2011-2015 2.0,Kochi,2014,62012,Diesel,Automatic,First,17.68,1968,174.33,5.0,20.12,Audi
Hyundai Xcent 1.2 Kappa,Chennai,2017,46000,CNG,Manual,First,25.0,1197,81.86,5.0,4.95,Hyundai
Honda Jazz 1.5 S,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498,98.6,5.0,7.48,Honda
Mercedes-Benz E-Class 200 Kompressor,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796,157.7,5.0,5.5,Mercedes-Benz
Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968,147.51,5.0,13.19,Audi
Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,19.1,1197,85.8,5.0,3.85,Maruti
Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248,73.75,5.0,5.75,Maruti
Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,15.1,2179,140.0,7.0,9.0,Mahindra
Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,18.6,1199,79.4,5.0,2.21,Chevrolet
Ford EcoSport 1.5 Diesel,Kochi,2017,78526,Diesel,Manual,First,23.0,1498,98.96,5.0,8.09,Ford
BMW 5 Series 2013-2017,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993,258.0,5.0,48.63,BMW
Audi Q5 30 TDI,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1968,174.3,5.0,39.47,Audi
BMW X1 sDrive 20d,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995,190.0,5.0,22.24,BMW
Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197,80.0,5.0,2.6,Hyundai
Hyundai Creta 1.6 CRDi,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582,126.2,5.0,12.0,Hyundai
Audi A4 2.0 TDI,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968,174.33,5.0,18.0,Audi
Mercedes-Benz S Class 2005,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3498,364.9,5.0,9.99,Mercedes-Benz
Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197,78.9,5.0,2.45,Hyundai
Ford EcoSport 1.5 Diesel,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498,98.96,5.0,8.99,Ford
Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598,103.6,5.0,3.15,Volkswagen
Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248,73.75,5.0,8.2,Maruti
Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997,120.0,7.0,11.5,Mahindra
Hyundai i20 Asta 1.4,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396,88.73,5.0,7.3,Hyundai
Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,19.7,796,46.3,5.0,1.59,Maruti
Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197,78.9,5.0,3.15,Hyundai
Mahindra Scorpio S6 7,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179,120.0,7.0,8.5,Mahindra
Skoda Fabia 1.2L Diesel,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199,75.0,5.0,3.0,Skoda
BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,15.3,2993,258.0,5.0,21.0,BMW
Honda Jazz 1.5 S,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498,98.6,5.0,7.75,Honda
Mercedes-Benz E-Class 2009-2013 E,Mumbai,2013,45200,Diesel,Automatic,First,10.0,2148,170.0,5.0,23.0,Mercedes-Benz
Mahindra XUV500 AT W10,Mumbai,2016,41000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.75,Mahindra
Honda City i VTEC,Kochi,2017,39430,Petrol,Automatic,First,18.0,1497,117.3,5.0,8.29,Honda
Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248,74.0,5.0,5.79,Maruti
Mercedes-Benz New C-Class 220,Coimbatore,2017,32324,Diesel,Automatic,First,14.84,2143,170.0,5.0,30.5,Mercedes-Benz
Honda City 1.5 S,Mumbai,2011,49999,Petrol,Manual,First,17.0,1497,118.0,5.0,3.8,Honda
Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,15.3,2956,83.8,7.0,4.45,Tata
Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,18.5,1197,82.85,5.0,3.3,Hyundai
Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,20.4,1248,91.2,5.0,1.75,Fiat
Honda Civic 2006-2010 1.8,Bangalore,2011,72000,Petrol,Automatic,Second,12.9,1799,130.0,5.0,5.5,Honda
Hyundai Creta 1.6 SX,Pune,2017,44865,Diesel,Manual,First,19.67,1582,126.2,5.0,13.35,Hyundai
Audi A3 35 TDI,Delhi,2017,22000,Diesel,Automatic,Second,20.38,1968,143.0,5.0,22.5,Audi
Hyundai Verna VTVT 1.6,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591,121.3,5.0,5.25,Hyundai
Hyundai i20 1.4 CRDi,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396,90.0,5.0,3.75,Hyundai
Honda Mobilio S i,Kochi,2015,50624,Diesel,Manual,First,24.2,1498,98.6,7.0,6.32,Honda
Hyundai Verna 1.6 SX,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582,126.32,5.0,7.75,Hyundai
Ford Fiesta 1.6 ZXI,Chennai,2006,87000,Petrol,Manual,Second,15.3,1596,101.0,5.0,1.37,Ford
Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.1,Hyundai
Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248,88.5,5.0,9.3,Maruti
Toyota Innova 2.5 VX,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494,100.6,7.0,12.0,Toyota
Mercedes-Benz GLA Class 200,Pune,2017,35000,Diesel,Automatic,First,17.9,2143,136.0,5.0,23.5,Mercedes-Benz
Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,First,19.7,796,46.3,5.0,1.8,Maruti
Mercedes-Benz New C-Class C,Chennai,2013,62000,Diesel,Automatic,Second,14.84,2143,170.0,5.0,12.5,Mercedes-Benz
Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.74,Maruti
Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,18.9,1197,82.0,5.0,5.43,Hyundai
Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,12.55,2982,168.5,7.0,31.62,Toyota
Toyota Innova 2.0 GX,Kolkata,2011,78088,Petrol,Manual,First,12.4,1998,132.0,8.0,6.3,Toyota
Ford EcoSport 1.5 TDCi,Kochi,2017,30453,Diesel,Manual,First,22.77,1498,98.59,5.0,8.45,Ford
Ford Figo 1.2P Titanium,Pune,2016,54000,Petrol,Manual,First,18.16,1196,86.8,5.0,5.0,Ford
Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5,2982,171.0,7.0,13.0,Toyota
Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1,1197,85.8,5.0,4.7,Maruti
BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,First,12.05,2979,320.0,5.0,93.67,BMW
Skoda Superb 1.8 TSI,Pune,2012,282000,Petrol,Manual,First,13.14,1798,160.0,5.0,3.3,Skoda
Maruti Wagon R LXI,Jaipur,2009,111000,Petrol,Manual,Second,18.9,1061,67.0,5.0,1.51,Maruti
Renault Duster 110PS Diesel,Kochi,2013,63295,Diesel,Manual,First,19.01,1461,108.45,5.0,6.09,Renault
Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,20.73,1373,91.1,5.0,5.95,Maruti
Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7,1582,126.24,5.0,9.0,Hyundai
Skoda Rapid 1.5 TDI,Kolkata,2015,45000,Diesel,Automatic,First,21.66,1498,103.52,5.0,4.25,Skoda
Mercedes-Benz New C-Class C,Hyderabad,2013,21000,Diesel,Automatic,First,14.84,2143,170.0,5.0,23.5,Mercedes-Benz
Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,11.7,2354,177.6,5.0,6.35,Honda
Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1,998,67.04,5.0,3.4,Maruti
BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,First,12.05,2979,320.0,5.0,93.0,BMW
BMW 3 Series 320d,Chennai,2014,48000,Diesel,Automatic,First,22.69,1995,190.0,5.0,21.6,BMW
Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,20.54,1598,103.6,5.0,4.0,Volkswagen
Maruti Swift Dzire Tour,Pune,2018,12000,Diesel,Manual,First,23.4,1248,74.0,5.0,5.5,Maruti
Land Rover Freelander 2,Mumbai,2012,34000,Diesel,Automatic,First,12.39,2179,147.51,5.0,19.25,Land
Hyundai i20 1.4 CRDi,Hyderabad,2012,71360,Diesel,Manual,First,21.9,1396,90.0,5.0,3.95,Hyundai
Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248,73.75,5.0,4.25,Maruti
Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1,1956,170.0,5.0,17.02,Jeep
Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77,1248,88.76,7.0,6.5,Maruti
Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,First,15.6,1196,70.0,5.0,2.95,Ford
Toyota Corolla Altis 1.4,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364,86.79,5.0,7.12,Toyota
Maruti Vitara Brezza ZDi,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248,88.5,5.0,11.25,Maruti
Honda City 1.5 S,Delhi,2009,65055,Petrol,Manual,First,17.0,1497,118.0,5.0,2.75,Honda
Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,First,15.4,2179,120.0,7.0,12.0,Mahindra
Hyundai Xcent 1.2 VTVT,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197,81.86,5.0,3.67,Hyundai
Mercedes-Benz E-Class 220 CDI,Pune,2001,121000,Diesel,Manual,First,15.0,2148,113.13736355859707,5.0,5.0,Mercedes-Benz
Mahindra Renault Logan 1.4,Pune,2008,2200,Petrol,Manual,First,15.7,1390,75.0,5.0,2.3,Mahindra
Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,First,18.7,1896,66.0,5.0,2.2,Skoda
Mercedes-Benz GL-Class 2007 2012,Pune,2014,79000,Diesel,Automatic,First,12.0,2987,224.0,7.0,41.0,Mercedes-Benz
BMW X1 sDrive 20d,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995,190.0,5.0,28.5,BMW
Volkswagen Vento 2013-2015 1.6,Mumbai,2015,23001,Petrol,Manual,First,15.04,1598,103.2,5.0,5.49,Volkswagen
Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,16.55,1968,147.51,5.0,17.5,Audi
Ford Ikon 1.4 TDCi,Bangalore,2009,75000,Diesel,Manual,First,13.8,1399,68.0,5.0,1.99,Ford
Hyundai Verna 1.6 CRDi,Kochi,2016,37451,Diesel,Manual,First,22.32,1582,126.3,5.0,6.64,Hyundai
